,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Тбилиси,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
22,22,27-04-2020 18:00:06,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,4,Тбилиси,5 гр,0.0216,12664,4650,419,170.0,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
23,23,27-04-2020 18:00:06,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0253,14825,5443,490,199.0,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
24,24,27-04-2020 18:00:06,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0253,14825,5443,490,199.0,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
25,25,27-04-2020 18:00:06,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0253,16315,5990,539,219.0,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
26,26,27-04-2020 18:00:06,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,5,Тбилиси,5 гр,0.0253,14825,5443,490,199.0,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
27,27,27-04-2020 18:00:06,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2944,190000,87429,6265,,,True,,,,,,,,reagent 25i nbome. 5gr
28,28,27-04-2020 18:00:06,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3463,223488,82050,7389,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
29,29,27-04-2020 18:00:06,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1114,64737,23767,2140,869.0,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
30,30,27-04-2020 18:00:06,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0242,14080,5169,466,189.0,,True,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
31,31,27-04-2020 18:00:06,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0244,14154,5197,468,190.0,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
32,32,27-04-2020 18:00:06,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0627,36429,13374,1204,489.0,,True,,,,,,,,💘✨5g. MDMA ✨💘
33,33,27-04-2020 18:00:06,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0242,14080,5169,466,189.0,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
34,34,27-04-2020 18:00:58,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0242,14080,5169,466,189.0,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
35,35,27-04-2020 18:00:58,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,4,Тбилиси,10 гр,0.0165,9691,3552,318,,,True,,120.0,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
36,36,27-04-2020 18:00:58,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1142,67046,24615,2217,900.0,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,37,27-04-2020 18:00:58,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0888,52147,19145,1724,700.0,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,38,27-04-2020 18:00:58,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0406,23839,8752,788,320.0,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,39,27-04-2020 18:00:58,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.1015,59597,21880,1970,800.0,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,40,27-04-2020 18:00:58,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2823,165754,60854,5480,2225.0,,True,,,,,,,,Amfetamin [White] [Import] 10G
41,41,27-04-2020 18:00:58,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1857,107945,39630,3569,1449.0,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
42,42,27-04-2020 18:00:58,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0473,27489,10092,909,369.0,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
43,43,27-04-2020 18:00:58,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0383,22274,8178,736,299.0,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
44,44,27-04-2020 18:00:58,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.6406,372480,136750,12315,5000.0,,True,,,,,,,,METADON - 20 G.
45,45,27-04-2020 18:00:58,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0767,44623,16383,1475,599.0,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
46,46,27-04-2020 18:00:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1395,81946,30085,2709,1100.0,,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
47,47,27-04-2020 18:00:58,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3045,178790,65640,5911,2400.0,,True,,,,,,,,100 gr marijuana buds
48,48,27-04-2020 18:00:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2537,148992,54700,4926,2000.0,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
49,49,27-04-2020 18:00:58,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3171,186240,68375,6158,2500.0,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
50,50,27-04-2020 18:00:58,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7485,439526,161365,14532,5900.0,,True,,,,,,,,180 gr marihuana persoalno
51,51,27-04-2020 18:00:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5836,342682,125810,11330,4600.0,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
52,52,27-04-2020 18:00:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.9514,558720,205125,18473,7500.0,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
53,53,27-04-2020 18:00:58,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.0783,633216,232475,20936,8500.0,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
54,54,27-04-2020 18:00:58,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0231,14899,5470,493,200.0,,True,,,,,,,,KURYER..500RUB.+BONUS
55,55,27-04-2020 18:00:58,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0254,14899,5470,493,200.0,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
56,56,27-04-2020 18:00:58,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0317,18624,6838,616,250.0,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
57,57,27-04-2020 18:00:58,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0254,14899,5470,493,200.0,,True,,,,,,,,Rabota na marki (kur'er)
58,58,27-04-2020 18:00:58,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.9202,1117440,410250,36945,15000.0,,True,,,,,,,,Vakansija optovogo kur'era na mef
59,59,27-04-2020 18:02:29,Batumi,54915c4374,Батуми н-бооом 4 штуки,,1,нет,Батуми,4 гр,0.0069,4442,1628,146,,,,,55.0,,,True,,,Batumi n-booom 4 shtuki
60,60,27-04-2020 18:02:29,Batumi,54915c4374,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0125,8076,2960,265,,,,,100.0,,,True,,,Batumi n-booom 10 shtuk
61,61,27-04-2020 18:02:29,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2791,163891,60170,5419,2200.0,,,,,,,True,,,[100g] SPAIN HASH
62,62,27-04-2020 18:02:29,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6406,372480,136750,12315,5000.0,,,,,,,True,,,METADON - 20 G.
63,63,27-04-2020 18:02:29,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0115,7450,2735,246,100.0,,,,,,,True,,,kur'er v Batumi
64,64,27-04-2020 18:02:29,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0288,18624,6838,616,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
65,65,27-04-2020 18:02:29,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0288,18624,6838,616,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
66,66,27-04-2020 18:02:29,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9202,1117440,410250,36945,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
67,67,27-04-2020 18:02:29,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0634,37248,13675,1232,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
68,68,27-04-2020 18:03:56,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0237,14080,5169,466,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
69,69,27-04-2020 18:03:56,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0614,36056,13237,1192,484.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
70,70,27-04-2020 18:03:56,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0422,24807,9108,820,333.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
71,71,27-04-2020 18:03:56,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0254,14899,5470,493,200.0,,,,,,,,,True,Rabota na marki (kur'er)
